objid,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
1237662302431347156,202.893966827741,51.4235842396545,STAR,23.56137,20.98024,20.22803,20.00064,19.74586
1237667781757567228,176.462699229925,21.6055640063482,STAR,21.22766,20.24681,20.20856,20.11441,20.06005
1237660583909130243,156.146467731074,8.59229156158747,STAR,16.67715,15.31069,14.78608,14.56494,14.46461
1237667212664373457,152.593931354875,26.8617137822393,STAR,19.65144,18.47356,17.9179,17.67181,17.5596
1237669517444251819,5.46734223753202,7.17527274624619,STAR,23.35256,20.56873,19.059,18.08294,17.36669
1237664094513594372,137.813670038409,30.8310602379346,STAR,18.4706,17.06726,16.58722,16.39972,16.35794
1237661383308673206,144.156505112435,34.8219365782959,STAR,22.09118,20.80841,20.32839,20.15187,20.27353
1237663784207057673,22.110654614993,0.0484051468407137,STAR,23.66579,21.8277,21.31199,21.19404,20.93212
1237661435931131924,223.603842296195,41.8000443875778,STAR,17.11503,16.19016,15.89876,15.79599,15.80559
1237671261744791789,154.539966659138,15.6228893921684,STAR,23.10278,20.73998,19.42214,17.91964,17.10442
1237667733954035848,142.007034144676,15.9167067586417,STAR,20.18369,19.1485,18.68787,18.50325,18.41273
1237662264317772007,217.23683957993,8.94071997124458,STAR,19.77003,17.45944,16.36277,15.91231,15.64792
1237650796755550591,143.120388802854,0.564342881948857,STAR,21.98836,21.54284,21.45842,21.50512,21.57258
1237661388693110879,251.450632056974,33.9991461164976,STAR,17.6766,16.16074,15.53755,15.25587,14.91805
1237665331456049166,166.201959674853,32.1463051311574,STAR,24.63495,22.36301,21.58501,20.0159,20.00059
1237663784209678464,28.1002984446812,0.194519087266523,STAR,21.40372,19.27298,18.20734,17.79095,17.53094
1237668311093740550,242.623086607331,11.1000404664239,STAR,24.61904,21.35471,20.37599,20.05061,20.2806
1237665570374812672,260.544906867011,34.381761727821,STAR,24.08084,21.55279,20.07397,19.1687,18.50145
1237663784740323499,13.8923626131569,0.541989073751557,STAR,21.47008,18.88268,17.61931,17.07491,16.78713
1237679454925881941,1.89659015712641,16.3002370120037,STAR,24.54523,21.93594,20.77846,20.52726,20.66189
1237668350817206541,207.811013789338,17.1273444331643,STAR,23.58407,22.7386,20.91483,18.67481,17.31997
1237660241386274989,47.4274981078276,0.526549407078313,STAR,24.55213,20.88682,19.23416,18.16042,17.57328
1237659326560141421,233.717853261525,49.6427944938357,STAR,18.88681,17.95908,17.65397,17.52878,17.47129
1237666090056548536,19.2043745413963,25.9596512204846,STAR,20.03158,18.81887,18.31303,18.10837,18.03655
1237653589016379524,116.73512835596,36.9560689480214,STAR,18.82629,17.7734,17.22526,16.96658,16.81603
1237668678845464963,263.945041434262,42.8490067436416,STAR,19.58567,18.62197,18.2563,18.14368,18.16559
1237680333256589369,15.3195951502134,30.1559103437006,STAR,24.10306,22.79049,21.31793,20.24772,19.73912
1237649920580321408,24.4908775314353,14.6843405127867,STAR,20.25819,19.30647,18.93655,18.82562,18.73695
1237660634920452121,153.412491025729,42.4460668935685,STAR,18.19756,17.0854,16.70583,16.56677,16.51714
1237657192517402775,3.61192448849084,1.15997199664042,STAR,20.06484,18.66923,18.06348,17.87079,17.75397
